gene	beta	hr	se	z	p	q
DCBLD2	0.3189945290022496	1.375743798194225	0.11439112208098041	2.7886301244289324	0.005293147871626713	0.9993228105536583
SERBP1	1.0247076415526928	2.7862807487642445	0.3675455589376854	2.787974488154336	0.005303872041586333	0.9993228105536583
RPL35A	0.7816489326378881	2.1850723336346443	0.28059791956603525	2.7856547683844703	0.005341973171826719	0.9993228105536583
NT5E	0.2937625222340558	1.3414652976555679	0.10574017938405968	2.778154188362768	0.005466866976496565	0.9993228105536583
HNRNPAB	0.7255835287197528	2.0659362814566924	0.2617828234564504	2.771700293928793	0.005576435341757113	0.9993228105536583
KIF20A	0.4139316561846242	1.512753735989329	0.14957545378592454	2.7673769038137213	0.0056509381589524565	0.9993228105536583
GAL	0.3053751718708092	1.3571340660336817	0.11045377258967212	2.764732835384955	0.005696943380197439	0.9993228105536583
SLC46A1	-0.7752049885270155	0.4606093516883017	0.28040132014526753	-2.76462674328853	0.005698796348855062	0.9993228105536583
GRIK2	0.5806927201735991	1.7872760842261508	0.2101852286608667	2.7627665553536365	0.005731374205760309	0.9993228105536583
SUOX	-0.7843740949738479	0.4564052787622233	0.2839481459952713	-2.762384984851813	0.0057380774517161726	0.9993228105536583
MIR210	0.3556270150844654	1.4270751714734673	0.12884216026682552	2.76017581782221	0.00577702617840492	0.9993228105536583
DLSTP1	-1.048990491969817	0.3502911924508757	0.3801611650571304	-2.759331011130964	0.0057919834447242025	0.9993228105536583
SMS	0.6856652624131052	1.9850920034558779	0.2485242418458062	2.758947204991446	0.005798790243680685	0.9993228105536583
OR7E128P	-1.051725404597094	0.3493344854967097	0.38168082335689607	-2.7555102070550275	0.005860067607435404	0.9993228105536583
UBALD2	0.7750010448820812	2.1705943951974467	0.2813505911599842	2.754574076730455	0.005876858472437352	0.9993228105536583
OR2A7	-0.8076259809900151	0.44591542232403975	0.2934302310306474	-2.7523611938459824	0.005916722302497401	0.9993228105536583
CINP	0.9558889662546297	2.6009817404929807	0.3482671737899282	2.7447001560681508	0.0060566207765302416	0.9993228105536583
ST6GAL1	-0.6940636890647196	0.4995419556804327	0.252906193201239	-2.744352284455323	0.006063043421850489	0.9993228105536583
GAMT	0.5070726588901138	1.660423447825228	0.1847765602713826	2.7442477451976197	0.006064974696137426	0.9993228105536583
NCBP2	1.024103890495674	2.784599036535879	0.37386076444944116	2.7392654910011776	0.006157662641887551	0.9993228105536583
DNAJC1	0.9368810980260666	2.552009525468848	0.3420736471562071	2.738828628907044	0.006165850373359927	0.9993228105536583
ART5	-0.950603826636236	0.3865075694131917	0.3471702724851911	-2.7381486894929488	0.006178613399416166	0.9993228105536583
SLC43A3	0.5663226013719512	1.7617763703302574	0.20700768205982176	2.7357564498900744	0.006223707020143632	0.9993228105536583
